UNIPROT_ID	Name	Species
MUTYH_HUMAN	mutY DNA glycosylase(MUTYH)	Homo sapiens
AL1A1_HUMAN	aldehyde dehydrogenase 1 family member A1(ALDH1A1)	Homo sapiens
FR1L6_HUMAN	fer-1 like family member 6(FER1L6)	Homo sapiens
CD166_HUMAN	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
FUBP1_HUMAN	far upstream element binding protein 1(FUBP1)	Homo sapiens
CCD80_HUMAN	coiled-coil domain containing 80(CCDC80)	Homo sapiens
FBX43_HUMAN	F-box protein 43(FBXO43)	Homo sapiens
ALK_HUMAN	anaplastic lymphoma receptor tyrosine kinase(ALK)	Homo sapiens
KCNQ5_HUMAN	potassium voltage-gated channel subfamily Q member 5(KCNQ5)	Homo sapiens
PROM1_HUMAN	prominin 1(PROM1)	Homo sapiens
WNK2_HUMAN	WNK lysine deficient protein kinase 2(WNK2)	Homo sapiens
ALDOC_HUMAN	aldolase, fructose-bisphosphate C(ALDOC)	Homo sapiens
GGH_HUMAN	gamma-glutamyl hydrolase(GGH)	Homo sapiens
SLAF5_HUMAN	CD84 molecule(CD84)	Homo sapiens
PROZ_HUMAN	protein Z, vitamin K dependent plasma glycoprotein(PROZ)	Homo sapiens
PKHH2_HUMAN	pleckstrin homology, MyTH4 and FERM domain containing H2(PLEKHH2)	Homo sapiens
PPBT_HUMAN	alkaline phosphatase, liver/bone/kidney(ALPL)	Homo sapiens
FCGBP_HUMAN	Fc fragment of IgG binding protein(FCGBP)	Homo sapiens
ASAP2_HUMAN	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2(ASAP2)	Homo sapiens
SPA11_HUMAN	serpin family A member 11(SERPINA11)	Homo sapiens
GCST_HUMAN	aminomethyltransferase(AMT)	Homo sapiens
TATD1_HUMAN	TatD DNase domain containing 1(TATDN1)	Homo sapiens
ANR44_HUMAN	ankyrin repeat domain 44(ANKRD44)	Homo sapiens
AMYP_HUMAN	amylase, alpha 2A (pancreatic)(AMY2A)	Homo sapiens
FMN1_HUMAN	formin 1(FMN1)	Homo sapiens
AMY1_HUMAN	amylase, alpha 1A (salivary)(AMY1A)	Homo sapiens
ANGI_HUMAN	angiogenin(ANG)	Homo sapiens
AMY2B_HUMAN	amylase, alpha 2B (pancreatic)(AMY2B)	Homo sapiens
ANK2_HUMAN	ankyrin 2(ANK2)	Homo sapiens
NALP9_HUMAN	NLR family pyrin domain containing 9(NLRP9)	Homo sapiens
AHNK2_HUMAN	AHNAK nucleoprotein 2(AHNAK2)	Homo sapiens
AMBP_HUMAN	alpha-1-microglobulin/bikunin precursor(AMBP)	Homo sapiens
FCAMR_HUMAN	Fc fragment of IgA and IgM receptor(FCAMR)	Homo sapiens
PHAR1_HUMAN	phosphatase and actin regulator 1(PHACTR1)	Homo sapiens
MYG_HUMAN	myoglobin(MB)	Homo sapiens
FAM9B_HUMAN	family with sequence similarity 9 member B(FAM9B)	Homo sapiens
MBL2_HUMAN	mannose binding lectin 2(MBL2)	Homo sapiens
AXA2L_HUMAN	annexin A2 pseudogene 2(ANXA2P2)	Homo sapiens
CO6A5_HUMAN	collagen type VI alpha 5 chain(COL6A5)	Homo sapiens
BTAF1_HUMAN	B-TFIID TATA-box binding protein associated factor 1(BTAF1)	Homo sapiens
ANX11_HUMAN	annexin A11(ANXA11)	Homo sapiens
ANXA7_HUMAN	annexin A7(ANXA7)	Homo sapiens
TMPS4_HUMAN	transmembrane protease, serine 4(TMPRSS4)	Homo sapiens
AOC2_HUMAN	amine oxidase, copper containing 2(AOC2)	Homo sapiens
APOF_HUMAN	apolipoprotein F(APOF)	Homo sapiens
PEO1_HUMAN	twinkle mtDNA helicase(TWNK)	Homo sapiens
KCNKD_HUMAN	potassium two pore domain channel subfamily K member 13(KCNK13)	Homo sapiens
MAGB3_HUMAN	MAGE family member B3(MAGEB3)	Homo sapiens
KDM1B_HUMAN	lysine demethylase 1B(KDM1B)	Homo sapiens
MTPN_HUMAN	myotrophin(MTPN)	Homo sapiens
BAZ1B_HUMAN	bromodomain adjacent to zinc finger domain 1B(BAZ1B)	Homo sapiens
MA1A1_HUMAN	mannosidase alpha class 1A member 1(MAN1A1)	Homo sapiens
CNNM4_HUMAN	cyclin and CBS domain divalent metal cation transport mediator 4(CNNM4)	Homo sapiens
OSCAR_HUMAN	osteoclast associated, immunoglobulin-like receptor(OSCAR)	Homo sapiens
MA2A1_HUMAN	mannosidase alpha class 2A member 1(MAN2A1)	Homo sapiens
HMCN1_HUMAN	hemicentin 1(HMCN1)	Homo sapiens
APOC1_HUMAN	apolipoprotein C1(APOC1)	Homo sapiens
APOA4_HUMAN	apolipoprotein A4(APOA4)	Homo sapiens
FA98C_HUMAN	family with sequence similarity 98 member C(FAM98C)	Homo sapiens
A4_HUMAN	amyloid beta precursor protein(APP)	Homo sapiens
TMTC3_HUMAN	transmembrane and tetratricopeptide repeat containing 3(TMTC3)	Homo sapiens
APOH_HUMAN	apolipoprotein H(APOH)	Homo sapiens
APOE_HUMAN	apolipoprotein E(APOE)	Homo sapiens
APOD_HUMAN	apolipoprotein D(APOD)	Homo sapiens
APOC4_HUMAN	apolipoprotein C4(APOC4)	Homo sapiens
APOC3_HUMAN	apolipoprotein C3(APOC3)	Homo sapiens
PRS27_HUMAN	protease, serine 27(PRSS27)	Homo sapiens
