ID	Gene Name	Species
ANKL1_HUMAN	ankyrin repeat and LEM domain containing 1(ANKLE1)	Homo sapiens	
ASB15_HUMAN	ankyrin repeat and SOCS box containing 15(ASB15)	Homo sapiens	
ASB4_HUMAN	ankyrin repeat and SOCS box containing 4(ASB4)	Homo sapiens	
ASB9_HUMAN	ankyrin repeat and SOCS box containing 9(ASB9)	Homo sapiens	
ANR11_HUMAN	ankyrin repeat domain 11(ANKRD11)	Homo sapiens	
ANR12_HUMAN	ankyrin repeat domain 12(ANKRD12)	Homo sapiens	
AN18A_HUMAN	ankyrin repeat domain 18A(ANKRD18A)	Homo sapiens	
AN18B_HUMAN	ankyrin repeat domain 18B(ANKRD18B)	Homo sapiens	
ANR26_HUMAN	ankyrin repeat domain 26(ANKRD26)	Homo sapiens	
AN30A_HUMAN	ankyrin repeat domain 30A(ANKRD30A)	Homo sapiens	
AN30B_HUMAN	ankyrin repeat domain 30B(ANKRD30B)	Homo sapiens	
ANR31_HUMAN	ankyrin repeat domain 31(ANKRD31)	Homo sapiens	
ANR44_HUMAN	ankyrin repeat domain 44(ANKRD44)	Homo sapiens	
ANX11_HUMAN	annexin A11(ANXA11)	Homo sapiens	
AXA2L_HUMAN	annexin A2 pseudogene 2(ANXA2P2)	Homo sapiens	
ANXA7_HUMAN	annexin A7(ANXA7)	Homo sapiens	
APOC1_HUMAN	apolipoprotein C1(APOC1)	Homo sapiens	
APOC2_HUMAN	apolipoprotein C2(APOC2)	Homo sapiens	
APOC4_HUMAN	apolipoprotein C4(APOC4)	Homo sapiens	
APOD_HUMAN	apolipoprotein D(APOD)	Homo sapiens	
APOF_HUMAN	apolipoprotein F(APOF)	Homo sapiens	
APOH_HUMAN	apolipoprotein H(APOH)	Homo sapiens	
APOL1_HUMAN	apolipoprotein L1(APOL1)	Homo sapiens	
APOL4_HUMAN	apolipoprotein L4(APOL4)	Homo sapiens	
APOM_HUMAN	apolipoprotein M(APOM)	Homo sapiens	
API5_HUMAN	apoptosis inhibitor 5(API5)	Homo sapiens	
APTX_HUMAN	aprataxin(APTX)	Homo sapiens	
AQ12A_HUMAN	aquaporin 12A(AQP12A)	Homo sapiens	
RSRC1_HUMAN	arginine and serine rich coiled-coil 1(RSRC1)	Homo sapiens	
ARMC9_HUMAN	armadillo repeat containing 9(ARMC9)	Homo sapiens	
ARRC_HUMAN	arrestin 3(ARR3)	Homo sapiens	
ARRD4_HUMAN	arrestin domain containing 4(ARRDC4)	Homo sapiens	
AT7L3_HUMAN	ataxin 7 like 3(ATXN7L3)	Homo sapiens	
AURKC_HUMAN	aurora kinase C(AURKC)	Homo sapiens	
AUTS2_HUMAN	autism susceptibility candidate 2(AUTS2)	Homo sapiens	
BCAM_HUMAN	basal cell adhesion molecule (Lutheran blood group)(BCAM)	Homo sapiens	
BNC2_HUMAN	basonuclin 2(BNC2)	Homo sapiens	
B4GN3_HUMAN	beta-1,4-N-acetyl-galactosaminyltransferase 3(B4GALNT3)	Homo sapiens	
BASP1_HUMAN	brain abundant membrane attached signal protein 1(BASP1)	Homo sapiens	
BRM1L_HUMAN	breast cancer metastasis-suppressor 1-like(BRMS1L)	Homo sapiens	
BPTF_HUMAN	bromodomain PHD finger transcription factor(BPTF)	Homo sapiens	
BAZ1B_HUMAN	bromodomain adjacent to zinc finger domain 1B(BAZ1B)	Homo sapiens	
CHLE_HUMAN	butyrylcholinesterase(BCHE)	Homo sapiens	
CAD20_HUMAN	cadherin 20(CDH20)	Homo sapiens	
CAD22_HUMAN	cadherin 22(CDH22)	Homo sapiens	
CADH6_HUMAN	cadherin 6(CDH6)	Homo sapiens	
CDHR2_HUMAN	cadherin related family member 2(CDHR2)	Homo sapiens	
CDHR5_HUMAN	cadherin related family member 5(CDHR5)	Homo sapiens	
CALB2_HUMAN	calbindin 2(CALB2)	Homo sapiens	
CACO1_HUMAN	calcium binding and coiled-coil domain 1(CALCOCO1)	Homo sapiens	
CABP1_HUMAN	calcium binding protein 1(CABP1)	Homo sapiens	
CABP7_HUMAN	calcium binding protein 7(CABP7)	Homo sapiens	
CMTA2_HUMAN	calmodulin binding transcription activator 2(CAMTA2)	Homo sapiens	
CAMP1_HUMAN	calmodulin regulated spectrin associated protein 1(CAMSAP1)	Homo sapiens	
CAMP3_HUMAN	calmodulin regulated spectrin associated protein family member 3(CAMSAP3)	Homo sapiens	
CAN3_HUMAN	calpain 3(CAPN3)	Homo sapiens	
CPNS1_HUMAN	calpain small subunit 1(CAPNS1)	Homo sapiens	
CSTN1_HUMAN	calsyntenin 1(CLSTN1)	Homo sapiens	
CALU_HUMAN	calumenin(CALU)	Homo sapiens	
CNPY3_HUMAN	canopy FGF signaling regulator 3(CNPY3)	Homo sapiens	
CBPA6_HUMAN	carboxypeptidase A6(CPA6)	Homo sapiens	
CBPD_HUMAN	carboxypeptidase D(CPD)	Homo sapiens	
CPN2_HUMAN	carboxypeptidase N subunit 2(CPN2)	Homo sapiens	
CBPO_HUMAN	carboxypeptidase O(CPO)	Homo sapiens	
CEAM1_HUMAN	carcinoembryonic antigen related cell adhesion molecule 1(CEACAM1)	Homo sapiens	
CRAC1_HUMAN	cartilage acidic protein 1(CRTAC1)	Homo sapiens	
CILP2_HUMAN	cartilage intermediate layer protein 2(CILP2)	Homo sapiens	
CILP1_HUMAN	cartilage intermediate layer protein(CILP)	Homo sapiens	
CTNL1_HUMAN	catenin alpha like 1(CTNNAL1)	Homo sapiens	
CTSR1_HUMAN	cation channel sperm associated 1(CATSPER1)	Homo sapiens	
CTSR2_HUMAN	cation channel sperm associated 2(CATSPER2)	Homo sapiens	
CTSRB_HUMAN	cation channel sperm associated auxiliary subunit beta(CATSPERB)	Homo sapiens	
CDON_HUMAN	cell adhesion associated, oncogene regulated(CDON)	Homo sapiens	
NCHL1_HUMAN	cell adhesion molecule L1 like(CHL1)	Homo sapiens	
CCPG1_HUMAN	cell cycle progression 1(CCPG1)	Homo sapiens	
CD37L_HUMAN	cell division cycle 37 like 1(CDC37L1)	Homo sapiens	
CCAR1_HUMAN	cell division cycle and apoptosis regulator 1(CCAR1)	Homo sapiens	
CREG1_HUMAN	cellular repressor of E1A stimulated genes 1(CREG1)	Homo sapiens	
CP110_HUMAN	centriolar coiled-coil protein 110(CCP110)	Homo sapiens	
CENPF_HUMAN	centromere protein F(CENPF)	Homo sapiens	
CENPH_HUMAN	centromere protein H(CENPH)	Homo sapiens	
CENPO_HUMAN	centromere protein O(CENPO)	Homo sapiens	
CP135_HUMAN	centrosomal protein 135(CEP135)	Homo sapiens	
CE290_HUMAN	centrosomal protein 290(CEP290)	Homo sapiens	
CE350_HUMAN	centrosomal protein 350(CEP350)	Homo sapiens	
CEP63_HUMAN	centrosomal protein 63(CEP63)	Homo sapiens	
CEP70_HUMAN	centrosomal protein 70(CEP70)	Homo sapiens	
CSPP1_HUMAN	centrosome and spindle pole associated protein 1(CSPP1)	Homo sapiens	
CDR2_HUMAN	cerebellar degeneration-related protein 2(LOC101060399)	Homo sapiens	
CBLN4_HUMAN	cerebellin 4 precursor(CBLN4)	Homo sapiens	
TCPQ_HUMAN	chaperonin containing TCP1 subunit 8(CCT8)	Homo sapiens	
CH3L1_HUMAN	chitinase 3 like 1(CHI3L1)	Homo sapiens	
DIAC_HUMAN	chitobiase(CTBS)	Homo sapiens	
CLIC6_HUMAN	chloride intracellular channel 6(CLIC6)	Homo sapiens	
CHADL_HUMAN	chondroadherin like(CHADL)	Homo sapiens	
CSPG4_HUMAN	chondroitin sulfate proteoglycan 4(CSPG4)	Homo sapiens	
CRDL2_HUMAN	chordin like 2(CHRDL2)	Homo sapiens	
CDT1_HUMAN	chromatin licensing and DNA replication factor 1(CDT1)	Homo sapiens	
CA122_HUMAN	chromosome 1 open reading frame 122(C1orf122)	Homo sapiens	
CJ120_HUMAN	chromosome 10 open reading frame 120(C10orf120)	Homo sapiens	
CJ131_HUMAN	chromosome 10 open reading frame 131(C10orf131)	Homo sapiens	
NO66_HUMAN	chromosome 14 open reading frame 169(C14orf169)	Homo sapiens	
S6OS1_HUMAN	chromosome 14 open reading frame 39(C14orf39)	Homo sapiens	
CO041_HUMAN	chromosome 15 open reading frame 41(C15orf41)	Homo sapiens	
CP071_HUMAN	chromosome 16 open reading frame 71(C16orf71)	Homo sapiens	
CB016_HUMAN	chromosome 2 open reading frame 16(C2orf16)	Homo sapiens	
CB054_HUMAN	chromosome 2 open reading frame 54(C2orf54)	Homo sapiens	
CV031_HUMAN	chromosome 22 open reading frame 31(C22orf31)	Homo sapiens	
CC020_HUMAN	chromosome 3 open reading frame 20(C3orf20)	Homo sapiens	
CE052_HUMAN	chromosome 5 open reading frame 52(C5orf52)	Homo sapiens	
CF141_HUMAN	chromosome 6 open reading frame 141(C6orf141)	Homo sapiens	
CG062_HUMAN	chromosome 7 open reading frame 62(C7orf62)	Homo sapiens	
CG071_HUMAN	chromosome 7 open reading frame 71(C7orf71)	Homo sapiens	
CH034_HUMAN	chromosome 8 open reading frame 34(C8orf34)	Homo sapiens	
CROCC_HUMAN	ciliary rootlet coiled-coil, rootletin(CROCC)	Homo sapiens	
CGNL1_HUMAN	cingulin like 1(CGNL1)	Homo sapiens	
CARM1_HUMAN	coactivator associated arginine methyltransferase 1(CARM1)	Homo sapiens	
CC113_HUMAN	coiled-coil domain containing 113(CCDC113)	Homo sapiens	
CC121_HUMAN	coiled-coil domain containing 121(CCDC121)	Homo sapiens	
CC126_HUMAN	coiled-coil domain containing 126(CCDC126)	Homo sapiens	
CC136_HUMAN	coiled-coil domain containing 136(CCDC136)	Homo sapiens	
CCD14_HUMAN	coiled-coil domain containing 14(CCDC14)	Homo sapiens	
CC146_HUMAN	coiled-coil domain containing 146(CCDC146)	Homo sapiens	
CCD15_HUMAN	coiled-coil domain containing 15(CCDC15)	Homo sapiens	
CC150_HUMAN	coiled-coil domain containing 150(CCDC150)	Homo sapiens	
CC151_HUMAN	coiled-coil domain containing 151(CCDC151)	Homo sapiens	
CCD38_HUMAN	coiled-coil domain containing 38(CCDC38)	Homo sapiens	
CCD40_HUMAN	coiled-coil domain containing 40(CCDC40)	Homo sapiens	
CCD60_HUMAN	coiled-coil domain containing 60(CCDC60)	Homo sapiens	
CCD73_HUMAN	coiled-coil domain containing 73(CCDC73)	Homo sapiens	
CCD80_HUMAN	coiled-coil domain containing 80(CCDC80)	Homo sapiens	
GRDN_HUMAN	coiled-coil domain containing 88A(CCDC88A)	Homo sapiens	
CTHR1_HUMAN	collagen triple helix repeat containing 1(CTHRC1)	Homo sapiens	
COSA1_HUMAN	collagen type XXVIII alpha 1 chain(COL28A1)	Homo sapiens	
DPYL1_HUMAN	collapsin response mediator protein 1(CRMP1)	Homo sapiens	
COL10_HUMAN	collectin subfamily member 10(COLEC10)	Homo sapiens	
CO4B_HUMAN	complement component 4B (Chido blood group), copy 2(C4B_2)	Homo sapiens	
FHR1_HUMAN	complement factor H related 1(CFHR1)	Homo sapiens	
FHR2_HUMAN	complement factor H related 2(CFHR2)	Homo sapiens	
FHR3_HUMAN	complement factor H related 3(CFHR3)	Homo sapiens	
COG1_HUMAN	component of oligomeric golgi complex 1(COG1)	Homo sapiens	
COG4_HUMAN	component of oligomeric golgi complex 4(COG4)	Homo sapiens	
CRX_HUMAN	cone-rod homeobox(CRX)	Homo sapiens	
CNTN3_HUMAN	contactin 3(CNTN3)	Homo sapiens	
CNTN4_HUMAN	contactin 4(CNTN4)	Homo sapiens	
CNTN5_HUMAN	contactin 5(CNTN5)	Homo sapiens	
CNTP4_HUMAN	contactin associated protein like 4(CNTNAP4)	Homo sapiens	
CPNE4_HUMAN	copine 4(CPNE4)	Homo sapiens	
CRHBP_HUMAN	corticotropin releasing hormone binding protein(CRHBP)	Homo sapiens	
CAND1_HUMAN	cullin associated and neddylation dissociated 1(CAND1)	Homo sapiens	
GAK_HUMAN	cyclin G associated kinase(GAK)	Homo sapiens	
CCNI_HUMAN	cyclin I(CCNI)	Homo sapiens	
CNNM2_HUMAN	cyclin and CBS domain divalent metal cation transport mediator 2(CNNM2)	Homo sapiens	
CNNM4_HUMAN	cyclin and CBS domain divalent metal cation transport mediator 4(CNNM4)	Homo sapiens	
CDK10_HUMAN	cyclin dependent kinase 10(CDK10)	Homo sapiens	
CDKL2_HUMAN	cyclin dependent kinase like 2(CDKL2)	Homo sapiens	
CDKL3_HUMAN	cyclin dependent kinase like 3(CDKL3)	Homo sapiens	
CYLC2_HUMAN	cylicin 2(CYLC2)	Homo sapiens	
CYTM_HUMAN	cystatin E/M(CST6)	Homo sapiens	
CRIS2_HUMAN	cysteine rich secretory protein 2(CRISP2)	Homo sapiens	
CRIS3_HUMAN	cysteine rich secretory protein 3(CRISP3)	Homo sapiens	
CREL1_HUMAN	cysteine rich with EGF like domains 1(CRELD1)	Homo sapiens	
CKAP2_HUMAN	cytoskeleton associated protein 2(CKAP2)	Homo sapiens	
CKAP5_HUMAN	cytoskeleton associated protein 5(CKAP5)	Homo sapiens	
DIDO1_HUMAN	death inducer-obliterator 1(DIDO1)	Homo sapiens	
DOC10_HUMAN	dedicator of cytokinesis 10(DOCK10)	Homo sapiens	
DOCK7_HUMAN	dedicator of cytokinesis 7(DOCK7)	Homo sapiens	
DCNL5_HUMAN	defective in cullin neddylation 1 domain containing 5(DCUN1D5)	Homo sapiens	
DEF1_HUMAN	defensin alpha 1(DEFA1)	Homo sapiens	
DEF3_HUMAN	defensin alpha 3(DEFA3)	Homo sapiens	
DHTK1_HUMAN	dehydrogenase E1 and transketolase domain containing 1(DHTKD1)	Homo sapiens	
DAZL_HUMAN	deleted in azoospermia like(DAZL)	Homo sapiens	
DNER_HUMAN	delta/notch like EGF repeat containing(DNER)	Homo sapiens	
DSPP_HUMAN	dentin sialophosphoprotein(DSPP)	Homo sapiens	
DNSL3_HUMAN	deoxyribonuclease 1 like 3(DNASE1L3)	Homo sapiens	
DCD_HUMAN	dermcidin(DCD)	Homo sapiens	
DMKN_HUMAN	dermokine(DMKN)	Homo sapiens	
DSC1_HUMAN	desmocollin 1(DSC1)	Homo sapiens	
DSC3_HUMAN	desmocollin 3(DSC3)	Homo sapiens	
DKK3_HUMAN	dickkopf WNT signaling pathway inhibitor 3(DKK3)	Homo sapiens	
DMBX1_HUMAN	diencephalon/mesencephalon homeobox 1(DMBX1)	Homo sapiens	
DPEP2_HUMAN	dipeptidase 2(DPEP2)	Homo sapiens	
DPEP3_HUMAN	dipeptidase 3(DPEP3)	Homo sapiens	
DPP2_HUMAN	dipeptidyl peptidase 7(DPP7)	Homo sapiens	
DPP10_HUMAN	dipeptidyl peptidase like 10(DPP10)	Homo sapiens	
DDR2_HUMAN	discoidin domain receptor tyrosine kinase 2(DDR2)	Homo sapiens	
DCBD1_HUMAN	discoidin, CUB and LCCL domain containing 1(DCBLD1)	Homo sapiens	
DLG5_HUMAN	discs large MAGUK scaffold protein 5(DLG5)	Homo sapiens	
DOP1_HUMAN	dopey family member 1(DOPEY1)	Homo sapiens	
DOP2_HUMAN	dopey family member 2(DOPEY2)	Homo sapiens	
DUS26_HUMAN	dual specificity phosphatase 26 (putative)(DUSP26)	Homo sapiens	
DYRK3_HUMAN	dual specificity tyrosine phosphorylation regulated kinase 3(DYRK3)	Homo sapiens	
EMAL5_HUMAN	echinoderm microtubule associated protein like 5(EML5)	Homo sapiens	
ELL_HUMAN	elongation factor for RNA polymerase II(ELL)	Homo sapiens	
GAK8_HUMAN	endogenous retrovirus group K member 8(ERVK-8)	Homo sapiens	
ENDD1_HUMAN	endonuclease domain containing 1(ENDOD1)	Homo sapiens	
ERAP1_HUMAN	endoplasmic reticulum aminopeptidase 1(ERAP1)	Homo sapiens	
ERAP2_HUMAN	endoplasmic reticulum aminopeptidase 2(ERAP2)	Homo sapiens	
EVPL_HUMAN	envoplakin(EVPL)	Homo sapiens	
EP3A_HUMAN	epididymal protein 3A(EDDM3A)	Homo sapiens	
ECT2_HUMAN	epithelial cell transforming 2(ECT2)	Homo sapiens	
ESIP1_HUMAN	epithelial stromal interaction 1(EPSTI1)	Homo sapiens	
ESCO1_HUMAN	establishment of sister chromatid cohesion N-acetyltransferase 1(ESCO1)	Homo sapiens	
ESCO2_HUMAN	establishment of sister chromatid cohesion N-acetyltransferase 2(ESCO2)	Homo sapiens	
ERR3_HUMAN	estrogen related receptor gamma(ESRRG)	Homo sapiens	
EXOC6_HUMAN	exocyst complex component 6(EXOC6)	Homo sapiens	
EXD1_HUMAN	exonuclease 3'-5' domain containing 1(EXD1)	Homo sapiens	
XPO6_HUMAN	exportin 6(XPO6)	Homo sapiens	
ECM1_HUMAN	extracellular matrix protein 1(ECM1)	Homo sapiens	
ECM2_HUMAN	extracellular matrix protein 2(ECM2)	Homo sapiens	
F120A_HUMAN	family with sequence similarity 120A(FAM120A)	Homo sapiens	
F120B_HUMAN	family with sequence similarity 120B(FAM120B)	Homo sapiens	
NIBL1_HUMAN	family with sequence similarity 129 member B(FAM129B)	Homo sapiens	
F149A_HUMAN	family with sequence similarity 149 member A(FAM149A)	Homo sapiens	
F161B_HUMAN	family with sequence similarity 161 member B(FAM161B)	Homo sapiens	
F188B_HUMAN	family with sequence similarity 188 member B(FAM188B)	Homo sapiens	
F193A_HUMAN	family with sequence similarity 193 member A(FAM193A)	Homo sapiens	
F198A_HUMAN	family with sequence similarity 198 member A(FAM198A)	Homo sapiens	
FAM3C_HUMAN	family with sequence similarity 3 member C(FAM3C)	Homo sapiens	
FA50B_HUMAN	family with sequence similarity 50 member B(FAM50B)	Homo sapiens	
FA65B_HUMAN	family with sequence similarity 65 member B(FAM65B)	Homo sapiens	
FA8A1_HUMAN	family with sequence similarity 8 member A1(FAM8A1)	Homo sapiens	
FAM9B_HUMAN	family with sequence similarity 9 member B(FAM9B)	Homo sapiens	
FA98C_HUMAN	family with sequence similarity 98 member C(FAM98C)	Homo sapiens	
FUBP1_HUMAN	far upstream element binding protein 1(FUBP1)	Homo sapiens	
FA2H_HUMAN	fatty acid 2-hydroxylase(FA2H)	Homo sapiens	
FEM1C_HUMAN	fem-1 homolog C(FEM1C)	Homo sapiens	
FR1L4_HUMAN	fer-1 like family member 4, pseudogene(FER1L4)	Homo sapiens	
FR1L6_HUMAN	fer-1 like family member 6(FER1L6)	Homo sapiens	
FERM2_HUMAN	fermitin family member 2(FERMT2)	Homo sapiens	
FETUB_HUMAN	fetuin B(FETUB)	Homo sapiens	
FBN1_HUMAN	fibrillin 1(FBN1)	Homo sapiens	
FGL2_HUMAN	fibrinogen like 2(FGL2)	Homo sapiens	
SEPR_HUMAN	fibroblast activation protein alpha(FAP)	Homo sapiens	
FMOD_HUMAN	fibromodulin(FMOD)	Homo sapiens	
FSD2_HUMAN	fibronectin type III and SPRY domain containing 2(FSD2)	Homo sapiens	
FBLN2_HUMAN	fibulin 2(FBLN2)	Homo sapiens	
FBLN7_HUMAN	fibulin 7(FBLN7)	Homo sapiens	
FCN1_HUMAN	ficolin 1(FCN1)	Homo sapiens	
FCN2_HUMAN	ficolin 2(FCN2)	Homo sapiens	
FCN3_HUMAN	ficolin 3(FCN3)	Homo sapiens	
FILA_HUMAN	filaggrin(FLG)	Homo sapiens	
FIL1L_HUMAN	filamin A interacting protein 1 like(FILIP1L)	Homo sapiens	
FNIP2_HUMAN	folliculin interacting protein 2(FNIP2)	Homo sapiens	
FSTL1_HUMAN	follistatin like 1(FSTL1)	Homo sapiens	
FSTL3_HUMAN	follistatin like 3(FSTL3)	Homo sapiens	
FSTL5_HUMAN	follistatin like 5(FSTL5)	Homo sapiens	
FHAD1_HUMAN	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens	
FOXD3_HUMAN	forkhead box D3(FOXD3)	Homo sapiens	
FOXJ1_HUMAN	forkhead box J1(FOXJ1)	Homo sapiens	
FMN1_HUMAN	formin 1(FMN1)	Homo sapiens	
FHOD1_HUMAN	formin homology 2 domain containing 1(FHOD1)	Homo sapiens	
FMNL2_HUMAN	formin like 2(FMNL2)	Homo sapiens	
LEG1_HUMAN	galectin 1(LGALS1)	Homo sapiens	
LG3BP_HUMAN	galectin 3 binding protein(LGALS3BP)	Homo sapiens	
LEG8_HUMAN	galectin 8(LGALS8)	Homo sapiens	
CXA9_HUMAN	gap junction protein alpha 9(GJA9)	Homo sapiens	
GKN1_HUMAN	gastrokine 1(GKN1)	Homo sapiens	
TF3C1_HUMAN	general transcription factor IIIC subunit 1(GTF3C1)	Homo sapiens	
TF3C4_HUMAN	general transcription factor IIIC subunit 4(GTF3C4)	Homo sapiens	
HASP_HUMAN	germ cell associated 2, haspin(GSG2)	Homo sapiens	
GFAP_HUMAN	glial fibrillary acidic protein(GFAP)	Homo sapiens	
QRIC1_HUMAN	glutamine rich 1(QRICH1)	Homo sapiens	
GLPK3_HUMAN	glycerol kinase 3 pseudogene(GK3P)	Homo sapiens	
GDPD4_HUMAN	glycerophosphodiester phosphodiesterase domain containing 4(GDPD4)	Homo sapiens	
GPNMB_HUMAN	glycoprotein nmb(GPNMB)	Homo sapiens	
GML_HUMAN	glycosylphosphatidylinositol anchored molecule like(GML)	Homo sapiens	
GLYR1_HUMAN	glyoxylate reductase 1 homolog(GLYR1)	Homo sapiens	
GOLM1_HUMAN	golgi membrane protein 1(GOLM1)	Homo sapiens	
GOGA5_HUMAN	golgin A5(GOLGA5)	Homo sapiens	
GRAH_HUMAN	granzyme H(GZMH)	Homo sapiens	
GAS6_HUMAN	growth arrest specific 6(GAS6)	Homo sapiens	
GRB1L_HUMAN	growth regulation by estrogen in breast cancer 1 like(GREB1L)	Homo sapiens	
GUC2A_HUMAN	guanylate cyclase activator 2A(GUCA2A)	Homo sapiens	
HEG1_HUMAN	heart development protein with EGF like domains 1(HEG1)	Homo sapiens	
HS902_HUMAN	heat shock protein 90 alpha family class A member 2, pseudogene(HSP90AA2P)	Homo sapiens	
H90B3_HUMAN	heat shock protein 90 alpha family class B member 3, pseudogene(HSP90AB3P)	Homo sapiens	
H90B4_HUMAN	heat shock protein 90 alpha family class B member 4, pseudogene(HSP90AB4P)	Homo sapiens	
HS12A_HUMAN	heat shock protein family A (Hsp70) member 12A(HSPA12A)	Homo sapiens	
HSP77_HUMAN	heat shock protein family A (Hsp70) member 7(HSPA7)	Homo sapiens	
HSPB6_HUMAN	heat shock protein family B (small) member 6(HSPB6)	Homo sapiens	
HSF2B_HUMAN	heat shock transcription factor 2 binding protein(HSF2BP)	Homo sapiens	
HSF5_HUMAN	heat shock transcription factor 5(HSF5)	Homo sapiens	
HRC23_HUMAN	hect domain and RLD 2 pseudogene 3(HERC2P3)	Homo sapiens	
HELZ_HUMAN	helicase with zinc finger(HELZ)	Homo sapiens	
HMCN1_HUMAN	hemicentin 1(HMCN1)	Homo sapiens	
HBD_HUMAN	hemoglobin subunit delta(HBD)	Homo sapiens	
HBG1_HUMAN	hemoglobin subunit gamma 1(HBG1)	Homo sapiens	
HBG2_HUMAN	hemoglobin subunit gamma 2(HBG2)	Homo sapiens	
HEMO_HUMAN	hemopexin(HPX)	Homo sapiens	
HES3_HUMAN	hes family bHLH transcription factor 3(HES3)	Homo sapiens	
HNRH2_HUMAN	heterogeneous nuclear ribonucleoprotein H2 (H')(HNRNPH2)	Homo sapiens	
HNRLL_HUMAN	heterogeneous nuclear ribonucleoprotein L like(HNRNPLL)	Homo sapiens	
HMGN5_HUMAN	high mobility group nucleosome binding domain 5(HMGN5)	Homo sapiens	
HRG_HUMAN	histidine rich glycoprotein(HRG)	Homo sapiens	
HXB3_HUMAN	homeobox B3(HOXB3)	Homo sapiens	
HXC10_HUMAN	homeobox C10(HOXC10)	Homo sapiens	
HXD3_HUMAN	homeobox D3(HOXD3)	Homo sapiens	
HIPK1_HUMAN	homeodomain interacting protein kinase 1(HIPK1)	Homo sapiens	
HIPK4_HUMAN	homeodomain interacting protein kinase 4(HIPK4)	Homo sapiens	
HORN_HUMAN	hornerin(HRNR)	Homo sapiens	
ZEP3_HUMAN	human immunodeficiency virus type I enhancer binding protein 3(HIVEP3)	Homo sapiens	
HABP2_HUMAN	hyaluronan binding protein 2(HABP2)	Homo sapiens	
HCN1_HUMAN	hyperpolarization activated cyclic nucleotide gated potassium channel 1(HCN1)	Homo sapiens	
IGHD_HUMAN	immunoglobulin heavy constant delta(IGHD)	Homo sapiens	
IGHE_HUMAN	immunoglobulin heavy constant epsilon(IGHE)	Homo sapiens	
IGHG3_HUMAN	immunoglobulin heavy constant gamma 3 (G3m marker)(IGHG3)	Homo sapiens	
IGHM_HUMAN	immunoglobulin heavy constant mu(IGHM)	Homo sapiens	
HV102_HUMAN	immunoglobulin heavy variable 1/OR15-1 (non-functional)(IGHV1OR15-1)	Homo sapiens	
HV311_HUMAN	immunoglobulin heavy variable 3-11 (gene/pseudogene)(IGHV3-11)	Homo sapiens	
HV313_HUMAN	immunoglobulin heavy variable 3-13(IGHV3-13)	Homo sapiens	
HV307_HUMAN	immunoglobulin heavy variable 3-7(IGHV3-7)	Homo sapiens	
HV309_HUMAN	immunoglobulin heavy variable 3-9(IGHV3-9)	Homo sapiens	
IGKC_HUMAN	immunoglobulin kappa constant(IGKC)	Homo sapiens	
KV112_HUMAN	immunoglobulin kappa variable 1-12(IGKV1-12)	Homo sapiens	
KV116_HUMAN	immunoglobulin kappa variable 1-16(IGKV1-16)	Homo sapiens	
KV117_HUMAN	immunoglobulin kappa variable 1-17(IGKV1-17)	Homo sapiens	
KV105_HUMAN	immunoglobulin kappa variable 1-5(IGKV1-5)	Homo sapiens	
KV311_HUMAN	immunoglobulin kappa variable 3D-11(IGKV3D-11)	Homo sapiens	
KV401_HUMAN	immunoglobulin kappa variable 4-1(IGKV4-1)	Homo sapiens	
LAC7_HUMAN	immunoglobulin lambda constant 7(IGLC7)	Homo sapiens	
IGLL1_HUMAN	immunoglobulin lambda like polypeptide 1(IGLL1)	Homo sapiens	
LV211_HUMAN	immunoglobulin lambda variable 2-11(IGLV2-11)	Homo sapiens	
LV208_HUMAN	immunoglobulin lambda variable 2-8(IGLV2-8)	Homo sapiens	
LV301_HUMAN	immunoglobulin lambda variable 3-1(IGLV3-1)	Homo sapiens	
IGDC4_HUMAN	immunoglobulin superfamily DCC subclass member 4(IGDCC4)	Homo sapiens	
ISLR_HUMAN	immunoglobulin superfamily containing leucine rich repeat(ISLR)	Homo sapiens	
IGSF6_HUMAN	immunoglobulin superfamily member 6(IGSF6)	Homo sapiens	
IGFN1_HUMAN	immunoglobulin-like and fibronectin type III domain containing 1(IGFN1)	Homo sapiens	
SAC2_HUMAN	inositol polyphosphate-5-phosphatase F(INPP5F)	Homo sapiens	
IF2B2_HUMAN	insulin like growth factor 2 mRNA binding protein 2(IGF2BP2)	Homo sapiens	
IBP1_HUMAN	insulin like growth factor binding protein 1(IGFBP1)	Homo sapiens	
IBP2_HUMAN	insulin like growth factor binding protein 2(IGFBP2)	Homo sapiens	
IBP4_HUMAN	insulin like growth factor binding protein 4(IGFBP4)	Homo sapiens	
IBP5_HUMAN	insulin like growth factor binding protein 5(IGFBP5)	Homo sapiens	
IBP6_HUMAN	insulin like growth factor binding protein 6(IGFBP6)	Homo sapiens	
IBP7_HUMAN	insulin like growth factor binding protein 7(IGFBP7)	Homo sapiens	
ALS_HUMAN	insulin like growth factor binding protein acid labile subunit(IGFALS)	Homo sapiens	
ITM2A_HUMAN	integral membrane protein 2A(ITM2A)	Homo sapiens	
INT1_HUMAN	integrator complex subunit 1(INTS1)	Homo sapiens	
INT10_HUMAN	integrator complex subunit 10(INTS10)	Homo sapiens	
ITIH1_HUMAN	inter-alpha-trypsin inhibitor heavy chain 1(ITIH1)	Homo sapiens	
ITIH3_HUMAN	inter-alpha-trypsin inhibitor heavy chain 3(ITIH3)	Homo sapiens	
