ID	Gene Name	Species
DEN5A_HUMAN	DENN domain containing 5A(DENND5A)	Homo sapiens	
DEPD5_HUMAN	DEP domain containing 5(DEPDC5)	Homo sapiens	
DDX21_HUMAN	DExD-box helicase 21(DDX21)	Homo sapiens	
RHG07_HUMAN	DLC1 Rho GTPase activating protein(DLC1)	Homo sapiens	
DLGP5_HUMAN	DLG associated protein 5(DLGAP5)	Homo sapiens	
DDT4L_HUMAN	DNA damage inducible transcript 4 like(DDIT4L)	Homo sapiens	
DTWD1_HUMAN	DTW domain containing 1(DTWD1)	Homo sapiens	
DMXL2_HUMAN	Dmx like 2(DMXL2)	Homo sapiens	
DNJB8_HUMAN	DnaJ heat shock protein family (Hsp40) member B8(DNAJB8)	Homo sapiens	
DJC14_HUMAN	DnaJ heat shock protein family (Hsp40) member C14(DNAJC14)	Homo sapiens	
EDAD_HUMAN	EDAR associated death domain(EDARADD)	Homo sapiens	
EFCB7_HUMAN	EF-hand calcium binding domain 7(EFCAB7)	Homo sapiens	
EFHC1_HUMAN	EF-hand domain containing 1(EFHC1)	Homo sapiens	
FBLN3_HUMAN	EGF containing fibulin like extracellular matrix protein 1(EFEMP1)	Homo sapiens	
EMSY_HUMAN	EMSY, BRCA2 interacting transcriptional repressor(EMSY)	Homo sapiens	
ES1_HUMAN	ES1 protein homolog, mitochondrial(LOC102724023)	Homo sapiens	
EVC_HUMAN	EvC ciliary complex subunit 1(EVC)	Homo sapiens	
FBX10_HUMAN	F-box protein 10(FBXO10)	Homo sapiens	
FA20A_HUMAN	FAM20A, golgi associated secretory pathway pseudokinase(FAM20A)	Homo sapiens	
FAT1_HUMAN	FAT atypical cadherin 1(FAT1)	Homo sapiens	
FAT2_HUMAN	FAT atypical cadherin 2(FAT2)	Homo sapiens	
FER_HUMAN	FER tyrosine kinase(FER)	Homo sapiens	
FRPD1_HUMAN	FERM and PDZ domain containing 1(FRMPD1)	Homo sapiens	
FRPD3_HUMAN	FERM and PDZ domain containing 3(FRMPD3)	Homo sapiens	
FRMD5_HUMAN	FERM domain containing 5(FRMD5)	Homo sapiens	
FRMD7_HUMAN	FERM domain containing 7(FRMD7)	Homo sapiens	
FARP1_HUMAN	FERM, ARH/RhoGEF and pleckstrin domain protein 1(FARP1)	Homo sapiens	
FKBP9_HUMAN	FK506 binding protein 9(FKBP9)	Homo sapiens	
FREM3_HUMAN	FRAS1 related extracellular matrix 3(FREM3)	Homo sapiens	
FRYL_HUMAN	FRY like transcription coactivator(FRYL)	Homo sapiens	
FRY_HUMAN	FRY microtubule binding protein(FRY)	Homo sapiens	
FTO_HUMAN	FTO, alpha-ketoglutarate dependent dioxygenase(FTO)	Homo sapiens	
FGD2_HUMAN	FYVE, RhoGEF and PH domain containing 2(FGD2)	Homo sapiens	
FCAMR_HUMAN	Fc fragment of IgA and IgM receptor(FCAMR)	Homo sapiens	
FCGBP_HUMAN	Fc fragment of IgG binding protein(FCGBP)	Homo sapiens	
FAIM3_HUMAN	Fc fragment of IgM receptor(FCMR)	Homo sapiens	
FRAS1_HUMAN	Fraser extracellular matrix complex subunit 1(FRAS1)	Homo sapiens	
CSN1_HUMAN	G protein pathway suppressor 1(GPS1)	Homo sapiens	
GP158_HUMAN	G protein-coupled receptor 158(GPR158)	Homo sapiens	
GPTC4_HUMAN	G-patch domain containing 4(GPATCH4)	Homo sapiens	
GRSF1_HUMAN	G-rich RNA sequence binding factor 1(GRSF1)	Homo sapiens	
GABP2_HUMAN	GA binding protein transcription factor beta subunit 2(GABPB2)	Homo sapiens	
G45IP_HUMAN	GADD45G interacting protein 1(GADD45GIP1)	Homo sapiens	
VTDB_HUMAN	GC, vitamin D binding protein(GC)	Homo sapiens	
GDIB_HUMAN	GDP dissociation inhibitor 2(GDI2)	Homo sapiens	
GIPC3_HUMAN	GIPC PDZ domain containing family member 3(GIPC3)	Homo sapiens	
GAPR1_HUMAN	GLI pathogenesis related 2(GLIPR2)	Homo sapiens	
GCC1_HUMAN	GRIP and coiled-coil domain containing 1(GCC1)	Homo sapiens	
GRPE2_HUMAN	GrpE like 2, mitochondrial(GRPEL2)	Homo sapiens	
H10_HUMAN	H1 histone family member 0(H1F0)	Homo sapiens	
HAUS5_HUMAN	HAUS augmin like complex subunit 5(HAUS5)	Homo sapiens	
HERC6_HUMAN	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6(HERC6)	Homo sapiens	
HECD1_HUMAN	HECT domain E3 ubiquitin protein ligase 1(HECTD1)	Homo sapiens	
HGFA_HUMAN	HGF activator(HGFAC)	Homo sapiens	
HPS3_HUMAN	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1(HPS3)	Homo sapiens	
HPS5_HUMAN	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2(HPS5)	Homo sapiens	
HYDIN_HUMAN	HYDIN, axonemal central pair apparatus protein(HYDIN)	Homo sapiens	
IQCC_HUMAN	IQ motif containing C(IQCC)	Homo sapiens	
JKIP3_HUMAN	Janus kinase and microtubule interacting protein 3(JAKMIP3)	Homo sapiens	
FUBP2_HUMAN	KH-type splicing regulatory protein(KHSRP)	Homo sapiens	
K0232_HUMAN	KIAA0232(KIAA0232)	Homo sapiens	
K319L_HUMAN	KIAA0319 like(KIAA0319L)	Homo sapiens	
K0825_HUMAN	KIAA0825(KIAA0825)	Homo sapiens	
K895L_HUMAN	KIAA0895 like(KIAA0895L)	Homo sapiens	
T131L_HUMAN	KIAA0922(KIAA0922)	Homo sapiens	
K1024_HUMAN	KIAA1024(KIAA1024)	Homo sapiens	
K1671_HUMAN	KIAA1671(KIAA1671)	Homo sapiens	
K1841_HUMAN	KIAA1841(KIAA1841)	Homo sapiens	
K2012_HUMAN	KIAA2012(KIAA2012)	Homo sapiens	
K2013_HUMAN	KIAA2013(KIAA2013)	Homo sapiens	
KANK2_HUMAN	KN motif and ankyrin repeat domains 2(KANK2)	Homo sapiens	
KRBA1_HUMAN	KRAB-A domain containing 1(KRBA1)	Homo sapiens	
KRI1_HUMAN	KRI1 homolog(KRI1)	Homo sapiens	
KTI12_HUMAN	KTI12 chromatin associated homolog(KTI12)	Homo sapiens	
LAS1L_HUMAN	LAS1 like, ribosome biogenesis factor(LAS1L)	Homo sapiens	
LRP1B_HUMAN	LDL receptor related protein 1B(LRP1B)	Homo sapiens	
LTMD1_HUMAN	LETM1 domain containing 1(LETMD1)	Homo sapiens	
LIMS1_HUMAN	LIM zinc finger domain containing 1(LIMS1)	Homo sapiens	
LONF2_HUMAN	LON peptidase N-terminal domain and ring finger 2(LONRF2)	Homo sapiens	
LONF3_HUMAN	LON peptidase N-terminal domain and ring finger 3(LONRF3)	Homo sapiens	
LYPD4_HUMAN	LY6/PLAUR domain containing 4(LYPD4)	Homo sapiens	
MAFF_HUMAN	MAF bZIP transcription factor F(MAFF)	Homo sapiens	
MAGB3_HUMAN	MAGE family member B3(MAGEB3)	Homo sapiens	
MAGB6_HUMAN	MAGE family member B6(MAGEB6)	Homo sapiens	
MAGD4_HUMAN	MAGE family member D4(MAGED4)	Homo sapiens	
